doc_id,plano,periodo,capitulo_num,capitulo_nome,pagina_inicio,pagina_fim,termo_busca,contexto_anterior,contexto_posterior,contexto_completo_kwic,evidencia_texto,localizacao_precisa,mecanismo_hipotetico
PQ13_Cap_03,PQ13,2016-2020,3,Chapter 1 The Development Environment,7,13,chinese_dream,improvement opens wider rest world become world’s largest trader goods major outward investor rmb included imf’s special drawing rights basket,rejuvenation nation core socialist values gained firm place people’s hearts china’s soft power continued become stronger notable achievements made military,improvement opens wider rest world become world’s largest trader goods major outward investor rmb included imf’s special drawing rights basket chinese_dream rejuvenation nation core socialist values gained firm place people’s hearts china’s soft power continued become stronger notable achievements made military,improvement opens wider rest world become world’s largest trader goods major outward investor rmb included imf’s special drawing rights basket [chinese_dream] rejuvenation nation core socialist values gained firm place people’s hearts china’s soft power continued become stronger notable achievements made military,"PQ13, Chapter 1 The Development Environment (pp. 7-13)",M6: Teleologia Nacional e Fins Estruturais
PQ13_Cap_04,PQ13,2016-2020,4,Chapter 2 The Guiding Thinking,14,15,chinese_dream,make headway party_building ensure completion building moderately_prosperous_society_in_all_respects within set time frame put place firmer foundations achieving second two centenary goals1,rejuvenating nation end must honor following principles uphold principal position people people basic force behind development realizing safeguarding developing fundamental,make headway party_building ensure completion building moderately_prosperous_society_in_all_respects within set time frame put place firmer foundations achieving second two centenary goals1 chinese_dream rejuvenating nation end must honor following principles uphold principal position people people basic force behind development realizing safeguarding developing fundamental,make headway party_building ensure completion building moderately_prosperous_society_in_all_respects within set time frame put place firmer foundations achieving second two centenary goals1 [chinese_dream] rejuvenating nation end must honor following principles uphold principal position people people basic force behind development realizing safeguarding developing fundamental,"PQ13, Chapter 2 The Guiding Thinking (pp. 14-15)",M6: Teleologia Nacional e Fins Estruturais
PQ13_Cap_05,PQ13,2016-2020,5,Chapter 3 Major Objectives,16,20,chinese_dream,line able lift poverty poor counties able rid poverty poverty alleviation achieved regions improve overall caliber population level civility society,core socialist values gain firmer place people’s hearts broadly advocate patriotism collectivism socialism people work improve cultivate sense virtue act,line able lift poverty poor counties able rid poverty poverty alleviation achieved regions improve overall caliber population level civility society chinese_dream core socialist values gain firmer place people’s hearts broadly advocate patriotism collectivism socialism people work improve cultivate sense virtue act,line able lift poverty poor counties able rid poverty poverty alleviation achieved regions improve overall caliber population level civility society [chinese_dream] core socialist values gain firmer place people’s hearts broadly advocate patriotism collectivism socialism people work improve cultivate sense virtue act,"PQ13, Chapter 3 Major Objectives (pp. 16-20)",M6: Teleologia Nacional e Fins Estruturais
PQ13_Cap_06,PQ13,2016-2020,6,Chapter 4 The Development Philosophy,21,21,beautiful_china,ecosystems move faster build resource-conserving environmentally friendly society bring new model modernization whereby humankind develops harmony nature move forward building,make new contributions toward ensuring global ecosecurity opening vital china’s prosperity development adapting china’s ever-deepening integration world economy pursue mutually,ecosystems move faster build resource-conserving environmentally friendly society bring new model modernization whereby humankind develops harmony nature move forward building beautiful_china make new contributions toward ensuring global ecosecurity opening vital china’s prosperity development adapting china’s ever-deepening integration world economy pursue mutually,ecosystems move faster build resource-conserving environmentally friendly society bring new model modernization whereby humankind develops harmony nature move forward building [beautiful_china] make new contributions toward ensuring global ecosecurity opening vital china’s prosperity development adapting china’s ever-deepening integration world economy pursue mutually,"PQ13, Chapter 4 The Development Philosophy (pp. 21-21)",M5: Civilização Ecológica e Transição Verde
PQ13_Cap_06,PQ13,2016-2020,6,Chapter 4 The Development Philosophy,21,21,common_prosperity,people greater sense benefit contribute development share fruits thus strengthening impetus development increasing unity among people helping move steadily toward,pursuit innovative coordinated green open shared development represents profound change china’s development effort new development philosophy constitutes joint body parts,people greater sense benefit contribute development share fruits thus strengthening impetus development increasing unity among people helping move steadily toward common_prosperity pursuit innovative coordinated green open shared development represents profound change china’s development effort new development philosophy constitutes joint body parts,people greater sense benefit contribute development share fruits thus strengthening impetus development increasing unity among people helping move steadily toward [common_prosperity] pursuit innovative coordinated green open shared development represents profound change china’s development effort new development philosophy constitutes joint body parts,"PQ13, Chapter 4 The Development Philosophy (pp. 21-21)",M6: Teleologia Nacional e Fins Estruturais
PQ13_Cap_09,PQ13,2016-2020,9,Chapter 6 Ensure Innovation in Science and Technology Takes a Leading Role,23,25,basic_research,ensure innovation science_and_technology takes leading role see scientific technological innovation leads way areas innovation strengthen,bolster primary innovation innovation based integration existing technologies innovation based import assimilation improve china’s capacity innovation provide inexhaustible driving force,ensure innovation science_and_technology takes leading role see scientific technological innovation leads way areas innovation strengthen basic_research bolster primary innovation innovation based integration existing technologies innovation based import assimilation improve china’s capacity innovation provide inexhaustible driving force,ensure innovation science_and_technology takes leading role see scientific technological innovation leads way areas innovation strengthen [basic_research] bolster primary innovation innovation based integration existing technologies innovation based import assimilation improve china’s capacity innovation provide inexhaustible driving force,"PQ13, Chapter 6 Ensure Innovation in Science and Technology Takes a Leading Role (pp. 23-25)",M2: Autonomia Tecno-Relacional e Modernização
PQ13_Cap_09,PQ13,2016-2020,9,Chapter 6 Ensure Innovation in Science and Technology Takes a Leading Role,23,25,basic_research,assimilation improve china’s capacity innovation provide inexhaustible driving force economic social development breakthroughs strategic frontier fields work strategy-driven frontier-oriented support,research key general-purpose technologies bearing overall development attach greater importance primary disruptive innovation stay focused objectives give high priority key,assimilation improve china’s capacity innovation provide inexhaustible driving force economic social development breakthroughs strategic frontier fields work strategy-driven frontier-oriented support basic_research research key general-purpose technologies bearing overall development attach greater importance primary disruptive innovation stay focused objectives give high priority key,assimilation improve china’s capacity innovation provide inexhaustible driving force economic social development breakthroughs strategic frontier fields work strategy-driven frontier-oriented support [basic_research] research key general-purpose technologies bearing overall development attach greater importance primary disruptive innovation stay focused objectives give high priority key,"PQ13, Chapter 6 Ensure Innovation in Science and Technology Takes a Leading Role (pp. 23-25)",M2: Autonomia Tecno-Relacional e Modernização
PQ13_Cap_31,PQ13,2016-2020,31,"Chapter 25 Build Ubiquitous, Efficient Information Networks",71,72,cybersecurity,adopt forward-thinking approach planning next generation internet move upgrade ipv6 across board formulate plans future cyber frameworks cyber technology systems,systems focus making breakthroughs key big data cloud computing technologies independently controllable operating systems high-end industrial software large management software,adopt forward-thinking approach planning next generation internet move upgrade ipv6 across board formulate plans future cyber frameworks cyber technology systems cybersecurity systems focus making breakthroughs key big data cloud computing technologies independently controllable operating systems high-end industrial software large management software,adopt forward-thinking approach planning next generation internet move upgrade ipv6 across board formulate plans future cyber frameworks cyber technology systems [cybersecurity] systems focus making breakthroughs key big data cloud computing technologies independently controllable operating systems high-end industrial software large management software,"PQ13, Chapter 25 Build Ubiquitous, Efficient Information Networks (pp. 71-72)",M1: Securitização Holística e Gestão de Riscos
PQ13_Cap_34,PQ13,2016-2020,34,Chapter 28 Strengthen Information Security,76,78,cybersecurity,strengthen information_security work see,developed tandem information technology systems safeguarding national cybersecurity improved protection important information systems data resources strengthened network governance_capacity improves order,strengthen information_security work see cybersecurity developed tandem information technology systems safeguarding national cybersecurity improved protection important information systems data resources strengthened network governance_capacity improves order,strengthen information_security work see [cybersecurity] developed tandem information technology systems safeguarding national cybersecurity improved protection important information systems data resources strengthened network governance_capacity improves order,"PQ13, Chapter 28 Strengthen Information Security (pp. 76-78)",M1: Securitização Holística e Gestão de Riscos
PQ13_Cap_34,PQ13,2016-2020,34,Chapter 28 Strengthen Information Security,76,78,cybersecurity,strengthen information_security work see cybersecurity developed tandem information technology systems safeguarding national,improved protection important information systems data resources strengthened network governance_capacity improves order ensure national information_security better protection data resources establish,strengthen information_security work see cybersecurity developed tandem information technology systems safeguarding national cybersecurity improved protection important information systems data resources strengthened network governance_capacity improves order ensure national information_security better protection data resources establish,strengthen information_security work see cybersecurity developed tandem information technology systems safeguarding national [cybersecurity] improved protection important information systems data resources strengthened network governance_capacity improves order ensure national information_security better protection data resources establish,"PQ13, Chapter 28 Strengthen Information Security (pp. 76-78)",M1: Securitização Holística e Gestão de Riscos
